Stream,CollDate.Treatment,FFG,Density
CHUCK,N.2017,CF,22.22222222222222
CHUCK,N.2017,CG,359.25925925925924
CHUCK,N.2017,P,281.48148148148147
CHUCK,N.2017,SCe,88.88888888888889
CHUCK,N.2017,SCi,59.25925925925925
CHUCK,N.2017,SH,81.48148148148148
CHUCK,Y.2017,CF,77.77777777777777
CHUCK,Y.2017,CG,603.7037037037037
CHUCK,Y.2017,P,485.18518518518516
CHUCK,Y.2017,SCe,170.37037037037035
CHUCK,Y.2017,SCi,25.92592592592592
CHUCK,Y.2017,SH,103.7037037037037
CHUCK,N.2018,CF,1012.3456790123457
CHUCK,N.2018,CG,1111.111111111111
CHUCK,N.2018,P,592.5925925925926
CHUCK,N.2018,SCe,209.87654320987656
CHUCK,N.2018,SCi,506.17283950617286
CHUCK,N.2018,SH,308.641975308642
CHUCK,Y.2018,CF,377.77777783206244
CHUCK,Y.2018,CG,911.1111112356149
CHUCK,Y.2018,P,566.666666741619
CHUCK,Y.2018,SCe,677.7777778701201
CHUCK,Y.2018,SCi,255.5555555880192
CHUCK,Y.2018,SH,588.888888970933
LOON,N.2017,CF,7.407407407407407
LOON,N.2017,CG,107.4074074074074
LOON,N.2017,P,85.18518518518518
LOON,N.2017,SCe,33.33333333333333
LOON,N.2017,SCi,14.814814814814815
LOON,N.2017,SH,25.925925925925927
LOON,Y.2017,CF,22.22222222222222
LOON,Y.2017,CG,403.7037037037037
LOON,Y.2017,P,159.25925925925924
LOON,Y.2017,SCe,44.44444444444444
LOON,Y.2017,SCi,48.148148148148145
LOON,Y.2017,SH,107.4074074074074
LOON,N.2018,CF,24.691358024691358
LOON,N.2018,CG,1839.5061728395062
LOON,N.2018,P,296.2962962962963
LOON,N.2018,SCe,86.41975308641976
LOON,N.2018,SCi,689.594356261023
LOON,N.2018,SH,239.8589065255732
LOON,Y.2018,CF,12.345679012345679
LOON,Y.2018,CG,2222.222222222222
LOON,Y.2018,P,234.5679012345679
LOON,Y.2018,SCe,123.45679012345681
LOON,Y.2018,SCi,358.0246913580247
LOON,Y.2018,SH,358.0246913580247
MCTE,N.2017,CF,48.148148148148145
MCTE,N.2017,CG,559.5429328132846
MCTE,N.2017,P,429.62962962962956
MCTE,N.2017,SCe,148.14814814814812
MCTE,N.2017,SCi,92.5925925925926
MCTE,N.2017,SH,1118.5185185185185
MCTE,Y.2017,CF,77.77777777777777
MCTE,Y.2017,CG,585.1851851851852
MCTE,Y.2017,P,125.92592592592592
MCTE,Y.2017,SCe,37.03703703703704
MCTE,Y.2017,SCi,151.85185185185185
MCTE,Y.2017,SH,329.6296296296296
MCTE,N.2018,CF,460.31746043681056
MCTE,N.2018,CG,2114.8148152673693
MCTE,N.2018,P,523.8095239253728
MCTE,N.2018,SCe,158.73015876641753
MCTE,N.2018,SCi,380.9523810382125
MCTE,N.2018,SH,1269.8412701217997
MCTE,Y.2018,CF,1037.0370370370372
MCTE,Y.2018,CG,4185.185185185185
MCTE,Y.2018,P,1238.6831275720165
MCTE,Y.2018,SCe,259.2592592592593
MCTE,Y.2018,SCi,3703.703703703704
MCTE,Y.2018,SH,1082.3045267489713
W-100,N.2017,CF,3.7037037037037037
W-100,N.2017,CG,844.4444444444445
W-100,N.2017,P,200
W-100,N.2017,SCe,325.9259259259259
W-100,N.2017,SCi,33.333333333333336
W-100,N.2017,SH,33.333333333333336
W-100,Y.2017,CF,48.148148148148145
W-100,Y.2017,CG,1670.3703703703704
W-100,Y.2017,P,366.6666666666667
W-100,Y.2017,SCe,240.74074074074073
W-100,Y.2017,SCi,407.4074074074074
W-100,Y.2017,SH,129.62962962962962
W-100,N.2018,CF,333.33333333333337
W-100,N.2018,CG,2981.4814814814818
W-100,N.2018,P,837.962962962963
W-100,N.2018,SCe,444.44444444444446
W-100,N.2018,SCi,1356.4814814814815
W-100,N.2018,SH,277.77777777777783
W-100,Y.2018,CF,44.44444444622223
W-100,Y.2018,CG,3844.4444445982226
W-100,Y.2018,P,511.1111111315556
W-100,Y.2018,SCe,511.1111111315556
W-100,Y.2018,SCi,1555.5555556177778
W-100,Y.2018,SH,177.7777777848889
W-113,N.2017,CF,25.92592592592592
W-113,N.2017,CG,329.6296296296296
W-113,N.2017,P,192.59259259259258
W-113,N.2017,SCe,70.37037037037037
W-113,N.2017,SCi,66.66666666666666
W-113,N.2017,SH,144.44444444444446
W-113,Y.2017,CF,14.814814814814815
W-113,Y.2017,CG,251.85185185185185
W-113,Y.2017,P,277.77777777777777
W-113,Y.2017,SCe,37.03703703703704
W-113,Y.2017,SCi,125.92592592592592
W-113,Y.2017,SH,59.25925925925925
W-113,N.2018,CF,400.0000001599999
W-113,N.2018,CG,3733.333334826666
W-113,N.2018,P,800.0000003199999
W-113,N.2018,SCe,488.8888890844444
W-113,N.2018,SCi,688.8888891644443
W-113,N.2018,SH,711.1111113955554
W-113,Y.2018,CF,111.11111111555556
W-113,Y.2018,CG,3133.333333458667
W-113,Y.2018,P,564.4444444657903
W-113,Y.2018,SCe,777.777777808889
W-113,Y.2018,SCi,1177.777777824889
W-113,Y.2018,SH,933.3333333706668
