Stream,Treatment,Year.Treatment,Year,BenthoTotal
LOON,N,2018 N,2018,0.176
MCTE,N,2018 N,2018,0.13433333333333333
W-113,N,2018 N,2018,0.301
W-100,N,2018 N,2018,0.311
CHUCK,N,2018 N,2018,0.584
LOON,Y,2018 Y,2018,0.3515666666666667
MCTE,Y,2018 Y,2018,0.42133333333333334
W-113,Y,2018 Y,2018,0.6066666666666667
W-100,Y,2018 Y,2018,0.5166666666666667
CHUCK,Y,2018 Y,2018,0.8023333333333333
LOON,N,2017 N,2017,0.03222222222222222
MCTE,N,2017 N,2017,0.007
W-113,N,2017 N,2017,0.23399999999999999
W-100,N,2017 N,2017,0.17766666666666667
LOON,Y,2017 Y,2017,0.011363636363636364
MCTE,Y,2017 Y,2017,0.03166666666666667
W-113,Y,2017 Y,2017,0.15366666666666667
W-100,Y,2017 Y,2017,0.168
CHUCK,Y,2017 Y,2017,0.045925925925925926
