Stream,CollDate,FFG,Diff
CHUCK,2017,CF,55.55555555555555
CHUCK,2017,CG,244.4444444444444
CHUCK,2017,P,203.70370370370372
CHUCK,2017,SCe,81.48148148148147
CHUCK,2017,SCi,-33.33333333333333
CHUCK,2017,SH,22.222222222222225
LOON,2017,CF,14.814814814814815
LOON,2017,CG,296.2962962962963
LOON,2017,P,74.07407407407408
LOON,2017,SCe,11.111111111111114
LOON,2017,SCi,33.33333333333333
LOON,2017,SH,81.48148148148147
MCTE,2017,CF,29.629629629629626
MCTE,2017,CG,25.642252371900618
MCTE,2017,P,-303.70370370370364
MCTE,2017,SCe,-111.1111111111111
MCTE,2017,SCi,59.25925925925926
MCTE,2017,SH,-788.8888888888888
W-100,2017,CF,44.44444444444444
W-100,2017,CG,825.9259259259259
W-100,2017,P,166.66666666666666
W-100,2017,SCe,-85.18518518518518
W-100,2017,SCi,374.074074074074
W-100,2017,SH,96.2962962962963
W-113,2017,CF,-11.111111111111107
W-113,2017,CG,-77.77777777777776
W-113,2017,P,85.18518518518518
W-113,2017,SCe,-33.33333333333333
W-113,2017,SCi,59.25925925925926
W-113,2017,SH,-85.18518518518519
CHUCK,2018,CF,-634.5679011802832
CHUCK,2018,CG,-199.99999987549623
CHUCK,2018,P,-25.9259258509736
CHUCK,2018,SCe,467.9012346602436
CHUCK,2018,SCi,-250.61728391815365
CHUCK,2018,SH,280.246913662291
LOON,2018,CF,-12.345679012345679
LOON,2018,CG,382.71604938271605
LOON,2018,P,-61.728395061728406
LOON,2018,SCe,37.037037037037045
LOON,2018,SCi,-331.5696649029982
LOON,2018,SH,118.16578483245154
MCTE,2018,CF,576.7195766002266
MCTE,2018,CG,2070.370369917816
MCTE,2018,P,714.8736036466437
MCTE,2018,SCe,100.52910049284176
MCTE,2018,SCi,3322.7513226654914
MCTE,2018,SH,-187.53674337282843
W-100,2018,CF,-288.88888888711114
W-100,2018,CG,862.962963116741
W-100,2018,P,-326.85185183140743
W-100,2018,SCe,66.66666668711112
W-100,2018,SCi,199.07407413629628
W-100,2018,SH,-99.99999999288889
W-113,2018,CF,-288.88888904444434
W-113,2018,CG,-600.0000013679995
W-113,2018,P,-235.55555585420964
W-113,2018,SCe,288.8888887244446
W-113,2018,SCi,488.8888886604447
W-113,2018,SH,222.22222197511135
