"","Algae Calothrix","Algae Chamaesiphon","Algae Draparnaldia","Algae Homoeothrix","Algae Leptolyngbya","Algae Nostoc","Algae Phormidium","Algae Pseudanabaena","Algae Sheathia","Algae Synechococcus","Algae Undetermined Rhodophyte"
"1",0,0,0,4347.82608695652,0,0,0,0,0,8695.65217391304,8695.65217391304
"2",16053.5117056856,0,0,0,0,0,0,0,0,35317.7257525084,12842.8093645485
"3",0,0,0,7625.41806020067,0,0,0,0,0,0,11438.127090301
"4",0,0,0,0,0,0,0,0,3973.24414715719,0,23839.4648829431
"5",0,0,0,0,0,0,0,0,0,162943.143812709,11237.4581939799
"6",0,0,0,12040.1337792642,0,0,0,0,0,0,28093.6454849498
"7",4013.3779264214,0,0,4013.3779264214,0,4013.3779264214,0,0,260869.565217391,0,0
"8",54260.8695652175,0,0,0,58434.7826086957,0,0,0,262956.521739131,0,4173.91304347827
"9",27157.1906354515,0,0,23277.5919732442,15518.3946488294,15518.3946488294,0,0,58193.9799331104,0,11638.7959866221
"10",3812.70903010033,0,0,0,3812.70903010033,0,0,0,7625.41806020067,0,3812.70903010033
"11",10447.1004869411,0,1227534.30721558,0,0,0,0,5223.55024347055,0,0,0
"12",29944.9541284404,0,0,12477.0642201835,2495.4128440367,0,0,0,144733.944954128,0,34935.7798165138
"13",18193.9799331104,4548.4949832776,0,8187.29096989969,1819.39799331104,909.698996655521,0,0,1819.39799331104,0,43665.551839465
"14",7684.21052631578,7684.21052631578,0,0,0,0,0,0,69157.894736842,2020947.36842105,15368.4210526316
"15",0,882.943143812707,0,3531.77257525083,0,0,0,0,1765.88628762541,0,88294.3143812707
"16",0,0,0,40026.7558528429,2729.09698996656,0,909.698996655521,0,6367.89297658865,0,59130.4347826089
"17",1262.60412099956,0,0,1262.60412099956,0,0,0,0,1262.60412099956,161613.327487944,25252.0824199912
